"Kiss Me, Kate",Comedy
Altiplano,Drama
Red Beard,Black-and-white
Meet Me in St. Louis,Romance Film
Gong with the Pink,Animation
Chakra,Drama
Children of the Dust,Action/Adventure
Dost,Bollywood
Ecstasy of the Angels,Drama
The Fast and the Furious,Crime Fiction
Lord of the Flies,Adventure
One Million Years BC,Action/Adventure
"Captain Midnight, the Bush King",Silent film
City of Scars,Short Film
Nahar we leil,Short Film
Armour of God,Adventure
The Man Who Could Cheat Death,Horror
The Canterville Ghost,Comedy
The Bloody Brood,Crime Fiction
Buck Rogers in the 25th Century,Adventure
The Disappearance of Alice Creed,Crime Fiction
Titans of the Deep,Action
The Apparition,Horror
Hava Aney Dey,Drama
Jihne Mera Dil Luteya,Drama
Commissioner,Action
Better Late Than Never,Comedy film
Doctor in Clover,Comedy
She Hate Me,Comedy
Aakrosh,Action
The Prince of Egypt,Adventure
Streets of Gold,Drama
To the Limit,Action
Sundara Kandam,Comedy film
Mohan Joshi Hazir Ho!,Art film
Jacknife,Drama
Annie's Coming Out,Drama
Der Blindgänger,Short Film
Dead Heat on a Merry-Go-Round,Crime Fiction
You Can't See 'round Corners,Drama
The Red Balloon,Short Film
Aham,Drama
Doctor in Distress,Comedy
Happy Birthday,Drama
Air Doll,Drama
German for Kids,Short Film
Ghosts... of the Civil Dead,Crime Fiction
Crash!,Horror
When Taekwondo Strikes,Chinese Movies
Mizhikal Sakshi,Drama
Star Spangled Girl,Comedy
"It's the Great Pumpkin, Charlie Brown",Animation
Once Upon a Time in China,Chinese Movies
Apoorvaragam,Drama
The Odd Couple II,Comedy
The Incredible Journey,Adventure
Purple Storm,Action
Doctor in Trouble,Comedy
One Word from You,Drama
Did You Hear About the Morgans?,Comedy
Network,Drama
Captains of the Clouds,Action
Web of Fear,Thriller
Max Steel: Countdown,Animation
Don Seenu,Comedy
The Travelling Players,Drama
The Thorn in the Heart,Documentary
Circus,Thriller
Pitfall,Crime Fiction
Mean Streets,Crime Fiction
Megafault,Action/Adventure
A Very Merry Daughter Of the Bride,Romance Film
Executioners,Action
